Time,H2,H4
2.1929953e-05,5.3333333e-04,5.4666667e-01
1.0289056e-03,5.3333333e-04,5.4766667e-01
2.0100614e-03,5.3333333e-04,5.4853333e-01
3.0170371e-03,5.3333333e-04,5.4926667e-01
4.0240127e-03,5.3333333e-04,5.4993333e-01
5.0309884e-03,5.3333333e-04,5.5046667e-01
6.0121442e-03,5.3333333e-04,5.5093333e-01
7.0191199e-03,5.3333333e-04,5.5113333e-01
8.0260955e-03,5.3333333e-04,5.5113333e-01
9.0330712e-03,5.3333333e-04,5.5100000e-01
1.0014227e-02,5.3333333e-04,5.5066667e-01
1.1021203e-02,5.3333333e-04,5.5020000e-01
1.2028178e-02,4.6666667e-04,5.4940000e-01
1.3009334e-02,4.6666667e-04,5.4846667e-01
1.4016310e-02,5.3333333e-04,5.4733333e-01
1.5023285e-02,4.6666667e-04,5.4600000e-01
1.6030261e-02,4.6666667e-04,5.4473333e-01
1.7011417e-02,4.6666667e-04,5.4366667e-01
1.8018393e-02,4.6666667e-04,5.4286667e-01
1.9025368e-02,4.6666667e-04,5.4260000e-01
2.0032344e-02,5.3333333e-04,5.4273333e-01
2.1013500e-02,5.3333333e-04,5.4313333e-01
2.2020475e-02,4.6666667e-04,5.4386667e-01
2.3027451e-02,4.6666667e-04,5.4486667e-01
2.4034427e-02,4.6666667e-04,5.4586667e-01
2.5015582e-02,4.6666667e-04,5.4673333e-01
2.6022558e-02,4.6666667e-04,5.4760000e-01
2.7029534e-02,5.3333333e-04,5.4826667e-01
2.8010690e-02,4.6666667e-04,5.4873333e-01
2.9017665e-02,4.6666667e-04,5.4900000e-01
3.0024641e-02,4.6666667e-04,5.4900000e-01
3.1031617e-02,4.6666667e-04,5.4866667e-01
3.2012772e-02,4.6666667e-04,5.4820000e-01
3.3019748e-02,5.3333333e-04,5.4753333e-01
3.4026724e-02,5.3333333e-04,5.4666667e-01
3.5033699e-02,4.6666667e-04,5.4566667e-01
3.6014855e-02,5.3333333e-04,5.4453333e-01
3.7021831e-02,5.3333333e-04,5.4340000e-01
3.8028807e-02,5.3333333e-04,5.4246667e-01
3.9009962e-02,5.3333333e-04,5.4166667e-01
4.0016938e-02,5.3333333e-04,5.4113333e-01
4.1023914e-02,4.6666667e-04,5.4080000e-01
4.2030889e-02,4.6666667e-04,5.4060000e-01
4.3012045e-02,5.3333333e-04,5.4066667e-01
4.4019021e-02,5.3333333e-04,5.4086667e-01
4.5025996e-02,5.3333333e-04,5.4086667e-01
4.6032972e-02,5.3333333e-04,5.4100000e-01
4.7014128e-02,5.3333333e-04,5.4113333e-01
4.8021104e-02,5.3333333e-04,5.4126667e-01
4.9028079e-02,4.6666667e-04,5.4146667e-01
5.0009235e-02,5.3333333e-04,5.4166667e-01
5.1016211e-02,5.3333333e-04,5.4186667e-01
5.2023186e-02,5.3333333e-04,5.4193333e-01
5.3030162e-02,5.3333333e-04,5.4233333e-01
5.4011318e-02,5.3333333e-04,5.4273333e-01
5.5018293e-02,5.3333333e-04,5.4300000e-01
5.6025269e-02,5.3333333e-04,5.4313333e-01
5.7032245e-02,5.3333333e-04,5.4320000e-01
5.8013401e-02,5.3333333e-04,5.4300000e-01
5.9020376e-02,4.6666667e-04,5.4253333e-01
6.0027352e-02,4.6666667e-04,5.4193333e-01
6.1034328e-02,4.6666667e-04,5.4140000e-01
6.2015483e-02,4.6666667e-04,5.4060000e-01
6.3022459e-02,4.6666667e-04,5.3993333e-01
6.4029435e-02,5.3333333e-04,5.3920000e-01
6.5010591e-02,5.3333333e-04,5.3846667e-01
6.6017566e-02,5.3333333e-04,5.3793333e-01
6.7024542e-02,5.3333333e-04,5.3753333e-01
6.8031518e-02,5.3333333e-04,5.3720000e-01
6.9012673e-02,5.3333333e-04,5.3700000e-01
7.0019649e-02,5.3333333e-04,5.3720000e-01
7.1026625e-02,5.3333333e-04,5.3746667e-01
7.2033600e-02,5.3333333e-04,5.3786667e-01
7.3014756e-02,5.3333333e-04,5.3833333e-01
7.4021732e-02,5.3333333e-04,5.3893333e-01
7.5028707e-02,5.3333333e-04,5.3953333e-01
7.6009863e-02,5.3333333e-04,5.4000000e-01
7.7016839e-02,5.3333333e-04,5.4033333e-01
7.8023815e-02,5.3333333e-04,5.4040000e-01
7.9030790e-02,5.3333333e-04,5.4006667e-01
8.0011946e-02,5.3333333e-04,5.3953333e-01
8.1018922e-02,5.3333333e-04,5.3886667e-01
8.2025897e-02,5.3333333e-04,5.3813333e-01
8.3032873e-02,5.3333333e-04,5.3760000e-01
8.4014029e-02,5.3333333e-04,5.3713333e-01
8.5021004e-02,5.3333333e-04,5.3660000e-01
8.6027980e-02,5.3333333e-04,5.3613333e-01
8.7034956e-02,5.3333333e-04,5.3586667e-01
8.8016112e-02,5.3333333e-04,5.3566667e-01
8.9023087e-02,5.3333333e-04,5.3546667e-01
9.0030063e-02,5.3333333e-04,5.3533333e-01
9.1011219e-02,5.3333333e-04,5.3506667e-01
9.2018194e-02,5.3333333e-04,5.3473333e-01
9.3025170e-02,5.3333333e-04,5.3433333e-01
9.4032146e-02,5.3333333e-04,5.3400000e-01
9.5013301e-02,5.3333333e-04,5.3380000e-01
9.6020277e-02,5.3333333e-04,5.3373333e-01
9.7027253e-02,5.3333333e-04,5.3366667e-01
9.8034229e-02,5.3333333e-04,5.3360000e-01
9.9015384e-02,5.3333333e-04,5.3360000e-01
1.0002236e-01,5.3333333e-04,5.3360000e-01
1.0102934e-01,5.3333333e-04,5.3346667e-01
1.0201049e-01,5.3333333e-04,5.3326667e-01
1.0301747e-01,5.3333333e-04,5.3333333e-01
1.0402444e-01,5.3333333e-04,5.3340000e-01
1.0503142e-01,5.3333333e-04,5.3333333e-01
1.0601257e-01,5.3333333e-04,5.3333333e-01
1.0701955e-01,5.3333333e-04,5.3346667e-01
1.0802653e-01,5.3333333e-04,5.3346667e-01
1.0903350e-01,5.3333333e-04,5.3333333e-01
1.1001466e-01,5.3333333e-04,5.3313333e-01
1.1102163e-01,5.3333333e-04,5.3266667e-01
1.1202861e-01,5.3333333e-04,5.3206667e-01
1.1300976e-01,4.6666667e-04,5.3133333e-01
1.1401674e-01,4.6666667e-04,5.3046667e-01
1.1502372e-01,4.6666667e-04,5.2940000e-01
1.1603069e-01,4.6666667e-04,5.2846667e-01
1.1701185e-01,4.6666667e-04,5.2766667e-01
1.1801882e-01,4.6666667e-04,5.2720000e-01
1.1902580e-01,4.6666667e-04,5.2700000e-01
1.2003277e-01,4.6666667e-04,5.2693333e-01
1.2101393e-01,4.0000000e-04,5.2706667e-01
1.2202091e-01,4.6666667e-04,5.2740000e-01
1.2302788e-01,4.0000000e-04,5.2780000e-01
1.2403486e-01,4.0000000e-04,5.2833333e-01
1.2501601e-01,4.6666667e-04,5.2880000e-01
1.2602299e-01,4.6666667e-04,5.2913333e-01
1.2702996e-01,4.6666667e-04,5.2913333e-01
1.2801112e-01,4.6666667e-04,5.2913333e-01
1.2901810e-01,4.6666667e-04,5.2900000e-01
1.3002507e-01,4.6666667e-04,5.2866667e-01
1.3103205e-01,4.6666667e-04,5.2813333e-01
