Time,P1,P3,P5,P7
2.1929953e-05,-4.5933333e+01,-6.9866667e+01,-5.5600000e+01,-4.1800000e+01
1.0289056e-03,-2.9400000e+01,-5.2866667e+01,-2.8466667e+01,-1.4266667e+01
2.0100614e-03,-8.7333333e+00,-3.1733333e+01, 3.6666667e+00, 1.5133333e+01
3.0170371e-03, 1.1933333e+01,-1.3800000e+01, 3.3533333e+01, 4.4133333e+01
4.0240127e-03, 2.3400000e+01,-5.0666667e+00, 5.7866667e+01, 6.7533333e+01
5.0309884e-03, 2.4800000e+01,-2.2666667e+00, 7.3066667e+01, 8.1333333e+01
6.0121442e-03, 2.0666667e+01,-3.6666667e+00, 7.8133333e+01, 8.6400000e+01
7.0191199e-03, 1.3333333e+01,-9.6666667e+00, 7.4866667e+01, 8.3600000e+01
8.0260955e-03, 9.3333333e-01,-2.0666667e+01, 6.0200000e+01, 6.8466667e+01
9.0330712e-03,-1.3800000e+01,-3.3533333e+01, 3.3533333e+01, 4.1800000e+01
1.0014227e-02,-3.3066667e+01,-5.1933333e+01, 0.0000000e+00, 8.7333333e+00
1.1021203e-02,-5.5600000e+01,-7.4866667e+01,-3.5866667e+01,-2.4333333e+01
1.2028178e-02,-6.6133333e+01,-8.5933333e+01,-5.9266667e+01,-4.8266667e+01
1.3009334e-02,-6.2933333e+01,-8.2266667e+01,-7.1666667e+01,-6.0666667e+01
1.4016310e-02,-5.7866667e+01,-7.7666667e+01,-7.5333333e+01,-6.0666667e+01
1.5023285e-02,-5.3266667e+01,-7.4000000e+01,-6.9400000e+01,-5.3266667e+01
1.6030261e-02,-5.0533333e+01,-7.1200000e+01,-6.0200000e+01,-4.2266667e+01
1.7011417e-02,-4.5466667e+01,-6.5266667e+01,-4.6866667e+01,-2.9400000e+01
1.8018393e-02,-3.6733333e+01,-5.7866667e+01,-2.9400000e+01,-1.5133333e+01
1.9025368e-02,-3.0800000e+01,-5.2866667e+01,-1.1000000e+01, 0.0000000e+00
2.0032344e-02,-2.4800000e+01,-4.8266667e+01, 6.0000000e+00, 1.6533333e+01
2.1013500e-02,-2.1133333e+01,-4.6400000e+01, 1.9733333e+01, 3.1733333e+01
2.2020475e-02,-1.6066667e+01,-4.3200000e+01, 3.4466667e+01, 4.7333333e+01
2.3027451e-02,-5.0666667e+00,-3.3533333e+01, 4.6866667e+01, 5.9266667e+01
2.4034427e-02, 4.6000000e+00,-2.3400000e+01, 5.2866667e+01, 6.2000000e+01
2.5015582e-02, 8.7333333e+00,-1.8400000e+01, 5.1933333e+01, 5.9733333e+01
2.6022558e-02, 8.2666667e+00,-1.8400000e+01, 4.5933333e+01, 5.4200000e+01
2.7029534e-02, 1.4000000e+00,-2.2066667e+01, 3.3533333e+01, 4.2266667e+01
2.8010690e-02,-7.3333333e+00,-2.8466667e+01, 1.6066667e+01, 2.4333333e+01
2.9017665e-02,-1.9733333e+01,-3.9066667e+01,-5.0666667e+00, 1.4000000e+00
3.0024641e-02,-3.3066667e+01,-5.2866667e+01,-2.5733333e+01,-2.1600000e+01
3.1031617e-02,-4.8266667e+01,-6.8933333e+01,-4.4600000e+01,-4.0400000e+01
3.2012772e-02,-6.2466667e+01,-8.3133333e+01,-5.7866667e+01,-5.1000000e+01
3.3019748e-02,-7.0266667e+01,-9.0066667e+01,-6.2000000e+01,-5.3266667e+01
3.4026724e-02,-7.1200000e+01,-9.3266667e+01,-6.0200000e+01,-4.7333333e+01
3.5033699e-02,-6.2933333e+01,-8.5933333e+01,-5.0533333e+01,-3.8133333e+01
3.6014855e-02,-5.1933333e+01,-7.4000000e+01,-3.7200000e+01,-2.6666667e+01
3.7021831e-02,-4.5933333e+01,-6.9866667e+01,-2.3400000e+01,-1.2400000e+01
3.8028807e-02,-3.9066667e+01,-6.2933333e+01,-8.7333333e+00, 4.1333333e+00
3.9009962e-02,-2.7133333e+01,-5.1933333e+01, 2.7333333e+00, 1.7466667e+01
